,index,GameID,gametime,name,Minutes,Start,active,DKP,Team,Opp,home,team_pts,opp_pts,dk_sal,dk_pos,dk_change,Stats,DoubleD,min_7d_avg,min_90d_avg,dk_avg_90_days,opppts_avg,dk_per_min,DKP_trans,dk_sal_increase,dk_sal_decrease,dk_std_90_days,dk_max_30_days
19341,2016-03-21 00:00:00,20160321-den-cle,19.0,Tristan Thompson,,,,,cle,den,H,,,4500.0,4.0,-100.0,,,25.729166666666675,28.816666666666674,22.863636363636363,105.45291479820628,0.7934171092065827,,False,True,10.66597155724889,43.75
20732,2016-03-21 00:00:00,20160321-den-cle,19.0,J.R. Smith,,,,,cle,den,H,,,4400.0,2.0,-200.0,,,28.008333333333326,30.18295454545455,22.102272727272727,105.45291479820628,0.7322766462106094,,False,True,9.110005708939665,32.25
23430,2016-03-21 00:00:00,20160321-den-cle,19.0,Sasha Kaun,,,,,cle,den,H,,,3000.0,5.0,0.0,,,2.6666666666666696,2.376388888888888,1.7708333333333333,105.45291479820628,0.7451782583284631,,False,False,2.394260023599371,7.75
28686,2016-03-21 00:00:00,20160321-den-cle,19.0,Jordan McRae,,,,,cle,den,H,,,3000.0,2.0,0.0,,,15.8,9.016666666666673,7.288461538461538,105.45291479820628,0.8083321484430536,,False,False,6.7668356048129406,9.75
29692,2016-03-21 00:00:00,20160321-den-cle,19.0,Matthew Dellavedova,,,,,cle,den,H,,,3300.0,1.0,0.0,,,22.85833333333335,23.75299145299145,16.878205128205128,105.45291479820628,0.710571767838509,,False,False,5.946823509366321,24.25
6926,2016-03-21 00:00:00,20160321-den-cle,19.0,Kostas Papanikolaou,,,,,den,cle,A,,,,,,,,,17.43125,10.75,99.11740041928721,0.6167084976694156,,False,False,8.611661528747765,
6959,2016-03-21 00:00:00,20160321-den-cle,19.0,JaKarr Sampson,,,,,den,cle,A,,,3000.0,3.0,0.0,,,16.920833333333334,15.63535353535354,9.295454545454545,99.11740041928721,0.5945151495574648,,False,False,5.513993046620735,16.75
7634,2016-03-21 00:00:00,20160321-den-cle,19.0,Axel Toupane,,,,,den,cle,A,,,3000.0,3.0,0.0,,,12.791666666666691,13.118518518518528,7.583333333333333,99.11740041928721,0.5780632411067189,,False,False,6.661456297237114,20.5
9235,2016-03-21 00:00:00,20160321-den-cle,19.0,Nikola Jokic,,,,,den,cle,A,,,6000.0,5.0,-200.0,,,24.991666666666674,22.42209302325582,27.936046511627907,99.11740041928721,1.2459160918944145,,False,True,12.779621638995437,49.25
10711,2016-03-21 00:00:00,20160321-den-cle,19.0,Wilson Chandler,,,,,den,cle,A,,,5000.0,3.0,0.0,,,,,,99.11740041928721,,,False,False,,
10984,2016-03-21 00:00:00,20160321-den-cle,19.0,Darrell Arthur,,,,,den,cle,A,,,4100.0,4.0,200.0,,,26.712500000000002,22.916228070175436,18.467105263157894,99.11740041928721,0.8058527435931789,,True,False,10.081789016459528,36.0
11831,2016-03-21 00:00:00,20160321-den-cle,19.0,Jameer Nelson,,,,,den,cle,A,,,3500.0,1.0,0.0,,,,29.441025641025647,22.365384615384617,99.11740041928721,0.7596673053475004,,False,False,10.138424939625002,
12043,2016-03-21 00:00:00,20160321-den-cle,19.0,Nick Johnson,,,,,den,cle,A,,,,,,,,,,,99.11740041928721,,,False,False,,
12186,2016-03-21 00:00:00,20160321-den-cle,19.0,Devin Sweetney,,,,,den,cle,A,,,,,,,,,,,99.11740041928721,,,False,False,,
13099,2016-03-21 00:00:00,20160321-den-cle,19.0,Emmanuel Mudiay,,,,,den,cle,A,,,5700.0,1.0,-100.0,,,29.445833333333347,31.146969696969695,28.03030303030303,99.11740041928721,0.8999367612005644,,False,True,8.787810622123294,48.0
13443,2016-03-21 00:00:00,20160321-den-cle,19.0,Matt Janning,,,,,den,cle,A,,,,,,,,,,,99.11740041928721,,,False,False,,
15186,2016-03-21 00:00:00,20160321-den-cle,19.0,D.J. Augustin,,,,,den,cle,A,,,4700.0,1.0,100.0,,,27.41666666666665,20.553787878787883,19.829545454545453,99.11740041928721,0.9647635546054326,,True,False,11.418548601486188,39.5
15612,2016-03-21 00:00:00,20160321-den-cle,19.0,Joffrey Lauvergne,,,,,den,cle,A,,,3300.0,5.0,0.0,,,19.629166666666674,17.38095238095238,14.657142857142857,99.11740041928721,0.8432876712328767,,False,False,8.95127449730207,27.0
19199,2016-03-21 00:00:00,20160321-den-cle,19.0,Jusuf Nurkic,,,,,den,cle,A,,,3500.0,5.0,100.0,,,21.924999999999997,14.195652173913041,16.73913043478261,99.11740041928721,1.179173047473201,,True,False,9.91712197668231,28.5
19271,2016-03-21 00:00:00,20160321-den-cle,19.0,Oleksiy Pecherov,,,,,den,cle,A,,,,,,,,,,,99.11740041928721,,,False,False,,
20099,2016-03-21 00:00:00,20160321-den-cle,19.0,Danilo Gallinari,,,,,den,cle,A,,,6400.0,3.0,0.0,,,,35.24166666666666,33.55769230769231,99.11740041928721,0.9522163813958566,,False,False,8.42119578572654,30.5
24851,2016-03-21 00:00:00,20160321-den-cle,19.0,Mike Miller,,,,,den,cle,A,,,3000.0,2.0,0.0,,,,7.418253968253967,3.3452380952380953,99.11740041928721,0.45094682785920626,,False,False,4.0500587885209995,8.5
26727,2016-03-21 00:00:00,20160321-den-cle,19.0,Will Barton,,,,,den,cle,A,,,5200.0,2.0,0.0,,,26.266666666666676,28.741085271317832,27.88372093023256,99.11740041928721,0.9701693818103355,,False,False,10.717607458502641,36.0
27421,2016-03-21 00:00:00,20160321-den-cle,19.0,Kenneth Faried,,,,,den,cle,A,,,5900.0,4.0,0.0,,,20.25,25.066228070175438,28.07894736842105,99.11740041928721,1.1201903728718658,,False,False,11.97465020410486,57.0
30109,2016-03-21 00:00:00,20160321-den-cle,19.0,Gary Harris,,,,,den,cle,A,,,5000.0,2.0,0.0,,,34.73333333333333,34.382558139534886,23.41860465116279,99.11740041928721,0.6811187392201291,,False,False,6.763153174650664,35.5
